Year,Tm,Player,Age,Rounded Position,WS
1998,DAL,Adrian Caldwell,31,3,0
1999,WAS,Etdrick Bohannon,25,3,0
1999,TOR,William Cunningham,24,4,0
2000,DAL,Randell Jackson,24,3,0
2001,PHI,Anthony Miller,29,3,0
2001,ATL,Andy Panko,23,3,0
2004,NJN,Hubert Davis,33,2,0
2005,LAC,Maurice Baker,25,1,0
2006,PHI,Deng Gai,23,3,0
2007,UTA,Louis Amundson,24,3,0
2007,POR,Jeremy Richardson,22,2,0
2008,DET,Ronald Dupree,27,2,0
2008,SAS,Marcus Williams,21,4,0
2011,POR,Jarron Collins,32,5,-0.1
2011,MIL,Brian Skinner,34,3,0
2012,LAC,Brian Cook,31,4,-0.2
2013,CHI,Louis Amundson,30,5,0
2014,CHI,Marquis Teague,20,1,-0.5
2014,MEM,Seth Curry,23,1,0
2014,CHA,Justin Hamilton,23,4,0
2014,CHI,Ronnie Brewer,28,2,0
2014,NYK,Chris Smith,26,1,0
2016,IND,Solomon Hill,24,2,0
2016,UTA,Jeff Withey,25,4,0
1993,DET,Darrell Walker,31,2,-0.3
2008,CLE,Billy Thomas,32,2,-0.1
2011,PHI,Craig Brackins,23,4,-0.1
2012,PHI,Xavier Silas,24,2,-0.1
2013,MEM,Josh Selby,21,1,-0.2
2014,LAC,Stephen Jackson,35,3,-0.2
2016,HOU,K.J. McDaniels,22,3,0
1980,IND,Tony Zeno,22,3,-0.2
1987,HOU,Conner Henry,23,2,-0.3
1995,ATL,Tom Hovasse,28,2,0
1996,BOS,Charles Claxton,25,5,0
1999,MIL,Jerald Honeycutt,24,4,0
2000,DET,Eric Montross,28,5,-0.4
2000,CLE,Donny Marshall,27,3,-0.1
2008,MIN,Mark Madsen,32,4,-0.3
2013,WAS,Jannero Pargo,33,1,-0.3
2014,CHI,Erik Murphy,23,4,-0.1
2014,OKC,Ryan Gomes,31,3,0
2016,POR,Noah Vonleh,20,4,-0.2
1991,PHI,Robert Reid,35,3,-0.2
1995,PHO,Antonio Lang,22,3,-0.1
2002,DAL,Tariq Abdul-Wahad,27,3,-0.1
2004,SAS,Anthony Carter,28,1,-0.3
2005,CHI,Frank Williams,24,1,-0.2
2010,WAS,Quinton Ross,28,2,-0.4
2011,CHA,Joel Przybilla,31,5,-0.1
1995,PHI,Alphonso Ford,23,2,-0.4
1998,TOR,Tim Kempton,34,4,-0.1
1999,HOU,Rodrick Rhodes,25,3,-0.1
2005,IND,Britton Johnsen,25,3,-0.2
2009,TOR,Jake Voskuhl,31,5,-0.3
2009,SAS,Desmon Farmer,27,2,-0.1
2009,TOR,Hassan Adams,24,2,-0.2
2010,CLE,Darnell Jackson,24,4,-0.2
2010,CHI,Devin Brown,31,2,-0.3
2010,PHI,Primoz Brezec,30,5,-0.1
2011,MEM,Acie Law,26,1,-0.3
2012,MEM,Lester Hudson,27,1,-0.1
1984,SEA,Charles Bradley,24,2,-0.1
1985,LAC,Dale Wilkinson,24,3,-0.1
1985,SEA,Danny Young,22,1,-0.1
1999,NJN,William Cunningham,24,5,-0.2
1999,NJN,Rony Seikaly,33,5,-0.3
2000,NYK,DeMarco Johnson,24,4,-0.1
2004,ORL,Pat Garrity,27,3,0
2008,SAC,Darryl Watkins,23,5,-0.2
2008,SEA,Ira Newble,33,2,-0.1
2009,DAL,Matt Carroll,28,2,-0.2
2011,TOR,Ronald Dupree,30,3,0
2014,NOP,Lance Thomas,25,3,-0.1
2014,BOS,Vander Blue,21,2,-0.1
2015,NOP,Gal Mekel,26,1,-0.2
1978,PHI,Glenn Mosley,22,3,-0.1
1978,BOS,Bob Bigelow,24,3,-0.1
1978,BOS,Steve Kuberski,30,4,0
1990,LAC,Carlton McKinney,25,2,-0.3
1994,NYK,Gerald Paddio,28,2,0
1997,MIL,Keith Tower,26,4,-0.1
1999,CHH,Willie Burton,30,4,-0.1
2005,HOU,Moochie Norris,31,1,-0.1
2006,PHO,Sharrod Ford,24,4,0
2011,SAS,Garrett Temple,24,2,-0.1
2011,NOH,Patrick Ewing,26,3,-0.1
1991,GSW,Bart Kofoed,26,2,-0.1
1991,MIN,Jim Thomas,30,1,0
1996,LAL,Frankie King,23,1,-0.1
1998,ATL,Donald Whiteside,28,1,0
1999,BOS,Dwayne Schintzius,30,5,-0.2
2006,NJN,Antoine Wright,21,3,-0.5
2010,OKC,Byron Mullens,20,5,-0.1
2011,NYK,Renaldo Balkman,26,3,0
2013,NYK,Quentin Richardson,32,4,-0.1
2016,CHO,Brian Roberts,30,1,-0.1
2016,WAS,Kelly Oubre,20,2,-0.1
1994,MIA,Gary Alexander,24,3,0
1996,CHH,Corey Beck,24,1,-0.1
1997,IND,LaSalle Thompson,35,4,0
1999,VAN,Rodrick Rhodes,25,2,-0.6
2001,NJN,Jamel Thomas,27,3,-0.2
2002,NYK,Felton Spencer,34,5,-0.1
2011,POR,Fabricio Oberto,35,4,0
2015,GSW,Brandon Rush,29,3,-0.3
1982,NJN,David Burns,23,1,-0.1
1984,CLE,Geoff Crompton,28,5,-0.1
