Year,Tm,Player,Age,Rounded Position,WS
1988,MIL,Charles Davis,29,2,-0.2
1997,DEN,Vincent Askew,30,2,-0.1
2001,NYK,Travis Knight,26,5,-0.3
2001,PHI,Roshown McLeod,25,3,0
2004,CLE,Bruno Sundov,23,5,-0.1
2005,MEM,Andre Emmett,22,2,0
2007,MEM,Scott Padgett,30,4,-0.1
2010,ATL,Jason Collins,31,5,-0.1
1982,NYK,DeWayne Scales,23,3,-0.1
1982,SDC,Rock Lee,26,3,0
1985,WSB,Charles Davis,26,3,-0.1
1989,CHI,Dominic Pressley,24,1,0
1991,ORL,Mark McNamara,31,5,0
1992,DAL,Joao Vianna,25,2,0
2000,SEA,Fred Vinson,29,2,-0.1
2001,GSW,Chris Garner,25,1,-0.4
2011,POR,Luke Babbitt,21,4,-0.4
2016,POR,Tim Frazier,25,1,0
1983,CHI,Larry Kenon,30,3,-0.1
1997,MIL,Darrin Hancock,25,2,-0.1
2000,DET,Marcus Brown,25,2,-0.1
2001,IND,Terry Mills,33,4,-0.2
2008,IND,Courtney Sims,24,4,0
2008,TOR,Linton Johnson,27,2,-0.1
2010,HOU,Hilton Armstrong,25,4,-0.2
2011,WAS,Mike Bibby,32,1,-0.1
2016,SAS,Ray McCallum,24,1,0
2016,DEN,Erick Green,24,#N/A,0
1996,GSW,Robert Churchwell,23,2,-0.1
2003,BOS,Bruno Sundov,22,5,-0.4
2003,BOS,Ruben Wolkowyski,29,4,0
2005,NYK,Bruno Sundov,24,5,-0.3
2005,DET,Derrick Coleman,37,5,-0.1
2008,LAL,Brian Cook,27,3,-0.1
2011,PHI,Darius Songaila,32,4,0
2014,TOR,D.J. Augustin,26,1,-0.2
2015,PHO,Jerel McNeal,27,2,-0.1
1982,NJN,Joe Cooper,24,4,0
1997,PHO,Tony Dumas,24,2,-0.1
1999,UTA,Anthony Avent,29,4,-0.1
2004,TOR,Michael Bradley,24,5,0
2005,LAL,Kareem Rush,24,3,-0.2
2013,CLE,Chris Quinn,29,1,-0.2
2015,OKC,Steve Novak,31,3,-0.1
1981,UTA,Dick Miller,22,3,-0.1
2003,DAL,Adam Harrington,22,2,-0.1
2010,PHO,Dwayne Jones,26,5,0
1978,NJN,Dave Wohl,28,1,-0.2
1981,HOU,Lee Johnson,23,4,-0.2
1983,BOS,Darren Tillis,22,4,-0.1
1985,UTA,Kenny Natt,26,2,-0.1
1986,LAC,Jeff Cross,24,4,-0.1
1994,GSW,Tod Murphy,30,3,0
1996,HOU,Jaren Jackson,28,2,0
1999,PHI,Rick Mahorn,40,4,0
2003,PHI,Mark Bryant,37,4,-0.1
2004,BOS,Michael Stewart,28,4,0
2005,CHA,Tamar Slay,24,3,-0.3
2007,NYK,Randolph Morris,21,5,-0.1
2008,CHA,Primoz Brezec,28,5,-0.3
2009,ATL,Thomas Gardner,23,2,-0.2
2011,PHO,Earl Barron,29,5,-0.4
2014,CHI,Mike James,38,1,-0.1
2014,LAC,Darius Morris,23,2,0
2014,LAC,Sasha Vujacic,29,3,-0.1
1979,SDC,Stan Pietkiewicz,22,2,0
1982,POR,Dennis Awtrey,33,4,0
1983,WSB,Chubby Cox,27,1,-0.2
1984,SAS,Darrell Lockhart,23,4,0
1994,CHH,Rumeal Robinson,27,1,-0.4
1996,MIA,LeRon Ellis,26,3,-0.1
2002,PHI,Damone Brown,22,3,-0.1
2003,TOR,Damone Brown,23,3,-0.2
2004,LAL,Jannero Pargo,24,1,-0.2
2011,PHI,Jason Kapono,29,3,-0.2
2012,SAS,Justin Dentmon,26,1,0
2015,DET,Cartier Martin,30,3,-0.2
1983,SAS,Jim Johnstone,22,5,-0.1
1988,NYK,Tony White,22,1,-0.3
1992,UTA,Bob Thornton,29,5,0
1993,POR,Delaney Rudd,30,1,-0.3
1995,SAS,Howard Eisley,22,1,-0.2
2001,MIL,Jason Hart,22,1,0
2004,LAC,Randy Livingston,28,2,-0.1
2008,NJN,Jamaal Magloire,29,5,-0.5
2011,OKC,Morris Peterson,33,3,0
2012,ORL,Justin Harper,22,4,-0.3
2014,MIN,Othyus Jeffers,28,3,0
1987,CLE,Dirk Minniefield,26,1,-0.3
1992,LAL,Demetrius Calip,22,1,-0.2
1994,WSB,Tito Horford,28,5,0
1995,MIN,Mike Brown,31,4,-0.4
1996,LAC,Logan Vander Velden,24,3,-0.1
1996,CHI,Jack Haley,32,5,0
2004,MIA,Bimbo Coles,35,1,-0.1
2009,ATL,Randolph Morris,23,5,0
2011,LAC,Jarron Collins,32,4,0
2012,PHI,Andres Nocioni,32,3,-0.2
2012,MIA,Mickell Gladness,25,5,0
2013,PHI,Maalik Wayns,21,1,-0.5
2016,HOU,Chuck Hayes,32,4,0
1981,DET,Norman Black,23,2,-0.1
1982,UTA,Sam Worthen,24,1,0
1988,UTA,Bart Kofoed,23,2,-0.1
1989,ATL,Pace Mannion,28,2,-0.1
1993,CHI,Jo Jo English,22,2,-0.1
1997,ORL,Dell Demps,26,2,0
1999,ORL,Danny Schayes,39,4,0
1999,MIA,Jamie Watson,26,2,0
2001,CHH,Doug Overton,31,1,0
2005,MIL,Reece Gaines,24,2,-0.2
2013,SAC,Tyler Honeycutt,22,3,-0.1
2014,UTA,Jamaal Tinsley,35,1,-0.3
2015,LAC,Dahntay Jones,34,3,0
1978,IND,Willie Smith,24,1,0
1979,SDC,John Olive,23,3,-0.2
1980,ATL,Rick Wilson,23,1,-0.2
1983,KCK,Leon Douglas,28,4,0
1985,DET,David Thirdkill,24,2,-0.1
1986,MIL,Earl Jones,25,4,0
1993,BOS,John Bagley,32,1,-0.3
1994,MIL,Mike Gminski,34,5,-0.2
1995,MIL,Tate George,26,2,0
1996,MIA,Stacey King,29,4,-0.2
2002,GSW,Dean Garrett,35,4,-0.1
2006,CLE,Mike Wilks,26,1,-0.4
2006,NYK,Anfernee Hardaway,34,2,-0.2
2008,NJN,Jason Collins,29,5,0
2008,UTA,Morris Almond,22,2,-0.1
2011,TOR,Solomon Alabi,22,5,-0.2
1980,GSW,Bubba Wilson,24,1,-0.2
1985,KCK,David Pope,22,3,-0.2
1985,LAL,Chuck Nevitt,25,5,-0.2
1986,PHI,Andrew Toney,28,1,-0.2
1991,LAC,Mike Smrek,28,5,0
1993,HOU,Terry Teagle,32,2,0
1994,DEN,Mark Macon,24,1,-0.3
1996,DEN,Rastko Cvetkovic,25,5,-0.1
1998,SAC,Kevin Salvadori,27,5,-0.2
1998,CLE,Greg Graham,27,1,-0.1
2000,TOR,Antonio Lang,27,3,0
2001,DAL,Mark Bryant,35,4,0
2004,ATL,Josh Davis,23,4,0
2006,LAL,Jim Jackson,35,3,-0.2
2011,LAL,Joe Smith,35,5,-0.1
2012,CLE,Christian Eyenga,22,2,-0.2
2014,POR,Earl Watson,34,1,-0.1
2015,CHI,Cameron Bairstow,24,4,-0.1
1985,DET,Sidney Lowe,25,1,0
1986,PHI,Butch Carter,27,1,0
1987,DEN,Pete Williams,21,2,0
1994,ORL,Greg Kite,32,5,-0.1
1994,HOU,Earl Cureton,36,4,0
1998,SEA,Eric Snow,24,1,-0.2
1999,HOU,Matt Maloney,27,1,-0.3
2009,NJN,Maurice Ager,24,2,-0.3
2011,BOS,Avery Bradley,20,1,-0.5
2012,CLE,Luke Walton,31,3,-0.5
2012,CLE,Mychel Thompson,23,2,-0.2
2016,ORL,Mario Hezonja,20,3,-0.2
2016,LAL,Robert Sacre,26,5,0
1988,POR,Nikita Wilson,23,3,-0.1
1988,SAC,Martin Nessley,22,5,0
1998,SEA,George Zidek,24,5,-0.1
2004,DEN,Jeff Trepagnier,24,2,-0.2
2005,CHI,Jared Reiner,22,5,0
2006,DAL,Pavel Podkolzin,21,5,-0.1
2014,CLE,Sergey Karasev,20,2,-0.1
1978,KCK,Louie Nelson,26,1,-0.1
1981,SDC,Tony Price,24,2,-0.1
1991,CHH,Earl Cureton,33,4,-0.1
1996,PHO,Stefano Rusconi,27,4,-0.1
1996,DAL,Reggie Slater,25,3,-0.1
1997,SAS,Joe Courtney,27,3,-0.1
1997,TOR,Brad Lohaus,32,4,-0.1
1997,DET,Randolph Childress,24,1,-0.1
1998,POR,Alton Lister,39,5,0
1998,CHH,Tony Delk,24,1,0
1999,TOR,Negele Knight,31,1,-0.1
2000,TOR,Aleksandar Radojevic,23,5,-0.1
2001,SEA,Pervis Ellison,33,4,0
2003,MEM,Robert Archibald,22,5,-0.2
2004,POR,Tracy Murray,32,3,-0.1
2004,NJN,Anthony Goldwire,32,1,-0.1
2006,CHI,Stephen Graham,23,3,0
2007,CHA,Eric Williams,34,3,-0.1
2008,CLE,Cedric Simmons,22,4,-0.1
2010,SAC,Dominic McGuire,24,4,-0.2
2010,HOU,Brian Cook,29,4,-0.2
2013,POR,Jared Jeffries,31,4,-0.3
2014,UTA,Andris Biedrins,27,5,0
2014,TOR,Austin Daye,25,4,0
2014,CHA,D.J. White,27,4,0
2015,SAC,David Wear,24,4,0
2016,CLE,J.R. Smith,30,3,-0.1
1989,GSW,Jerome Whitehead,32,3,0
1990,CHI,Jeff Sanders,24,4,-0.3
1990,GSW,John Shasky,25,5,-0.1
2003,SAS,Anthony Goldwire,31,1,-0.1
2004,MEM,Dahntay Jones,23,2,-0.4
2005,DEN,Nikoloz Tskitishvili,21,4,-0.4
2005,POR,Ha Seung-Jin,19,5,-0.2
2014,HOU,Josh Powell,31,4,0
2016,MIA,James Ennis,25,2,0
1979,DEN,Geoff Crompton,23,5,-0.1
1981,UTA,John Duren,22,1,-0.9
1984,DAL,Roger Phegley,27,2,-0.2
1987,POR,Perry Young,23,2,-0.1
1987,NJN,Michael Wilson,27,1,0
1990,HOU,Tim McCormick,27,4,-0.1
1995,HOU,Charles Jones,37,4,0
2000,SAC,Ryan Robertson,23,2,0
2003,PHI,Kenny Satterfield,21,1,-0.2
2004,ORL,Britton Johnsen,24,3,-0.6
2008,SAC,Kenny Thomas,30,4,-0.3
2008,DEN,Jelani McCoy,30,5,0
2014,OKC,Hasheem Thabeet,26,5,0
2016,NOP,Nate Robinson,31,#N/A,0
1978,CHI,Jim Ard,29,3,-0.1
1984,SAS,Steve Lingenfelter,25,4,0
1988,NYK,Louis Orr,29,3,-0.2
1989,SAS,Petur Gudmundsson,30,5,-0.1
1992,PHI,Dave Hoppen,27,4,-0.1
1999,PHO,Jimmy Oliver,29,2,0
2000,LAL,John Celestand,22,1,-0.1
2005,NYK,Vin Baker,33,4,-0.3
2012,TOR,Jamaal Magloire,33,5,-0.2
1982,LAL,Kevin McKenna,23,2,-0.3
1997,NJN,Evric Gray,27,3,-0.1
2002,BOS,Joseph Forte,20,2,-0.1
2007,UTA,C.J. Miles,19,2,-0.5
2009,ORL,Jeremy Richardson,24,2,-0.2
2009,NYK,Eddy Curry,26,5,0
2010,CHI,Joe Alexander,23,3,0
2015,BRK,Andrei Kirilenko,33,4,0
1988,LAC,Martin Nessley,22,5,-0.1
1988,POR,Ronnie Murphy,23,2,-0.2
1990,CHH,Mike Holton,28,1,-0.2
1993,GSW,Pat Durham,25,3,-0.2
1998,GSW,Brandon Williams,22,3,-0.3
2003,ORL,Ryan Humphrey,23,4,-0.5
2003,ATL,Antonio Harvey,32,5,0
2005,LAC,Kenny Anderson,34,1,-0.1
2007,DAL,Maurice Ager,22,2,-0.3
2008,SEA,Robert Swift,22,5,-0.2
2009,LAL,Adam Morrison,24,3,0
2009,DEN,Cheikh Samb,24,5,-0.1
2011,NOH,Sasha Pavlovic,27,3,-0.1
2013,WAS,Jason Collins,34,5,0
2013,CHA,Matt Carroll,32,1,0
2014,SAC,Hamady N'Diaye,27,5,0
2015,ATL,Adreian Payne,23,4,0
1979,POR,Kim Anderson,23,3,-0.4
1980,LAL,Ron Boone,33,2,-0.2
1990,DAL,Kelvin Upshaw,27,1,0
1993,SAS,William Bedford,29,4,-0.1
1995,SAS,Chris Whitney,23,1,-0.2
1995,DET,Walter Bond,25,2,-0.1
1997,GSW,Lou Roe,24,3,-0.4
1997,HOU,Joe Stephens,24,4,-0.1
2000,PHI,Stanley Roberts,29,5,0
2000,GSW,Jamel Thomas,26,2,-0.1
2007,NJN,Jason Collins,28,5,0.6
2013,BOS,Jason Collins,34,5,0.3
2013,MIL,Doron Lamb,21,2,-0.4
1982,WSB,Carlos Terry,25,2,-0.1
1985,PHI,Marc Iavaroni,28,3,-0.1
1988,CHI,Elston Turner,28,2,-0.2
1990,SAS,Uwe Blab,27,5,0
1995,PHI,Lloyd Daniels,27,2,-0.2
1996,CLE,John Amaechi,25,4,-0.6
1996,DEN,Greg Grant,29,1,-0.1
1997,ATL,Ken Norman,32,3,-0.6
1999,MIN,Brian Evans,25,3,-0.1
1999,SAC,Peter Aluma,25,5,0
2002,MIA,Sam Mack,31,3,-0.1
2003,UTA,John Amaechi,32,4,-0.7
2004,GSW,Rusty LaRue,30,2,-0.1
2005,WAS,Samaki Walker,28,4,-0.1
2005,GSW,Nikoloz Tskitishvili,21,4,-0.1
2006,MIL,Ervin Johnson,38,5,0
2006,ATL,John Thomas,30,4,0
2007,WAS,Mike Hall,22,3,0
2008,CLE,Eric Snow,34,1,-0.1
2011,MIL,Garrett Temple,24,2,0
2012,OKC,Lazar Hayward,25,3,-0.1
1981,GSW,Tom Abernethy,26,3,0
1983,WSB,Steve Lingenfelter,24,4,0
1986,HOU,Granville Waiters,25,4,-0.2
1990,ORL,Dave Corzine,33,5,-0.2
1991,LAC,Greg Butler,24,5,-0.1
1992,SEA,Quintin Dailey,31,2,-0.3
1992,WSB,Derek Strong,23,4,0
1993,ORL,Lorenzo Williams,23,4,0
1998,ORL,Spud Webb,34,1,-0.1
2001,BOS,Jerome Moiso,22,5,-0.3
2002,CLE,DeSagana Diop,20,5,-0.3
2006,PHO,Jim Jackson,35,3,-0.7
2007,PHO,Jumaine Jones,27,3,-0.2
2008,ORL,Pat Garrity,31,4,-0.2
2010,DAL,DeShawn Stevenson,28,2,-0.1
1980,SAS,Sylvester Norris,22,4,-0.2
1981,DEN,Jawann Oldham,23,5,0
1985,IND,Kenton Edelin,22,3,0.1
1990,GSW,Uwe Blab,27,5,-0.4
1992,ORL,Morlon Wiley,25,1,-0.2
1994,CHH,Lorenzo Williams,24,4,0
1995,LAC,Bob Martin,25,5,0
1997,DAL,Stevin Smith,25,5,-0.1
2001,CHI,Dalibor Bagaric,20,5,-0.7
2005,TOR,Aaron Williams,33,4,0
2006,BOS,Justin Reed,24,3,-0.3
2007,DEN,Anthony Carter,31,1,-0.1
2009,MIN,Jason Collins,30,5,-0.2
2010,WAS,DeShawn Stevenson,28,2,-0.3
2011,ORL,Malik Allen,32,4,0.2
2011,OKC,Nate Robinson,26,1,0
2012,DAL,Brian Cardinal,34,3,0
2012,MEM,Josh Selby,20,1,-0.5
2013,CLE,Jon Leuer,23,4,-0.2
2013,MIL,Joel Przybilla,33,5,0
2014,BRK,Tornike Shengelia,22,3,-0.2
2015,LAC,Chris Douglas-Roberts,28,2,0
2015,MIN,Miroslav Raduljica,27,5,0
1978,SAS,George Karl,26,1,0
1986,PHO,Nick Vanos,22,5,-0.4
1989,MIA,Dave Popson,24,4,-0.1
1998,IND,Mark Pope,25,4,0
2001,MIL,Michael Redd,21,3,-0.1
2003,SEA,Joseph Forte,21,2,-0.3
2004,MIL,Joel Przybilla,24,5,0
2004,POR,Ruben Boumtje-Boumtje,25,4,0
2008,SAS,Bobby Jones,24,3,0
2009,DAL,Jerry Stackhouse,34,2,-0.4
2011,LAL,Sasha Vujacic,26,2,-0.1
2012,CHA,Jamario Moon,31,3,-0.3
2013,LAL,Robert Sacre,23,5,-0.1
2013,ORL,Hedo Turkoglu,33,3,-0.5
2014,GSW,Ognjen Kuzmic,23,5,0
1980,KCK,Terry Crosby,23,1,0
1994,SAS,Chris Whitney,22,1,-0.3
1996,CHI,James Edwards,40,4,-0.2
1999,MIA,Keith Askins,31,2,0.2
1999,MIN,Rasho Nesterovic,22,5,0
2006,NJN,John Thomas,30,5,0
2008,NJN,Trenton Hassell,28,2,-0.1
2011,OKC,Byron Mullens,21,5,-0.2
2014,HOU,Ronnie Brewer,28,3,0
2015,NOP,Nate Wolters,23,2,-0.2
1982,MIL,Geoff Crompton,26,5,0
1984,DEN,Dave Robisch,34,4,-0.2
1989,MIL,Tito Horford,23,5,-0.3
1989,MIL,Andre Turner,24,1,-0.1
1992,LAL,Jack Haley,28,4,-0.3
1992,PHI,Brian Oliver,23,2,-0.7
1993,MIN,Gerald Glass,25,2,-0.2
1996,ORL,Jeff Turner,33,3,-0.1
2000,CHI,Lari Ketner,22,4,0
2003,TOR,Art Long,30,4,-0.3
2004,TOR,Michael Curry,35,2,0.3
2004,ATL,Hiram Fuller,22,4,-0.1
2010,BOS,Brian Scalabrine,31,3,0.2
2011,CHA,Sherron Collins,23,1,-0.2
2012,MIA,Juwan Howard,38,4,-0.3
2012,MIA,Eddy Curry,29,5,-0.1
2015,HOU,Francisco Garcia,33,2,-0.2
2015,DET,Quincy Miller,22,3,-0.1
2015,WAS,Toure' Murry,25,2,0
1980,SAS,Irv Kiffin,28,3,-0.6
1982,CLE,Don Ford,29,3,-0.1
1989,UTA,Bart Kofoed,24,2,0
1996,BOS,Todd Mundt,25,4,0
1997,DAL,Stacey King,30,5,-0.1
2001,NYK,Luc Longley,32,5,0
2001,CLE,Michael Hawkins,28,1,0
2008,ATL,Lorenzen Wright,32,4,0.1
2009,MIA,Dorell Wright,23,3,-0.1
2009,GSW,Marcus Williams,23,1,-0.1
2010,PHO,Jarron Collins,31,5,0.1
2011,NJN,Quinton Ross,29,2,0
2012,ATL,Jason Collins,33,5,0.2
2013,BRK,Kris Joseph,24,3,0
2014,BOS,Chris Babb,23,3,0
2015,PHI,Drew Gordon,24,4,-0.1
2016,DAL,Justin Anderson,22,3,-0.1
1978,DEN,Norm Cook,22,3,0
1986,SEA,Brian Martin,23,5,0
1987,CHI,Perry Young,23,2,0
1990,GSW,Leonard Taylor,23,4,-0.1
1998,BOS,Dontae' Jones,22,3,-0.3
2000,NYK,Mirsad Turkcan,23,5,-0.1
2001,ATL,Tony Smith,32,1,-0.2
2002,NJN,Brandon Armstrong,21,2,-0.2
2002,NYK,Larry Robinson,34,2,0
2003,MIA,Sean Marks,27,4,-0.2
2005,DAL,Didier Ilunga-Mbenga,24,5,0
2006,MEM,John Thomas,30,3,0
2008,SEA,Francisco Elson,31,5,-0.5
2011,POR,Earl Barron,29,5,-0.1
2012,HOU,Marcus Morris,22,4,-0.2
2015,MIL,Johnny O'Bryant,21,4,-0.5
2015,CLE,Lou Amundson,32,4,0
2016,OKC,Nick Collison,35,4,0
1980,IND,Brad Davis,24,1,0
1983,CLE,Dave Magley,23,3,-0.1
1983,PHI,J.J. Anderson,22,3,-0.1
1985,BOS,Greg Kite,23,5,0.1
1990,NYK,Brian Quinnett,23,3,-0.1
1996,MIL,Eric Mobley,25,4,0
1998,TOR,Roy Rogers,24,4,-0.1
1999,NYK,Dennis Scott,30,3,0
1999,PHO,Marko Milic,21,3,-0.1
1999,VAN,Makhtar N'Diaye,25,4,0
2003,NJN,Brandon Armstrong,22,2,-0.1
2007,POR,Luke Schenscher,24,5,0
2014,NOP,Melvin Ely,35,4,0
2014,NOP,Josh Childress,30,3,0
1978,HOU,Larry Moffett,23,3,-0.1
1981,SDC,Wally Rank,22,3,-0.4
1982,MIL,Kevin Stacom,30,1,-0.1
1992,LAC,Lanard Copeland,26,2,-0.1
1995,SEA,Bill Cartwright,37,5,0.2
1999,IND,Fred Hoiberg,26,2,0
2002,CHH,Kirk Haston,22,4,-0.2
2005,NYK,Jamison Brewer,24,2,-0.3
2005,IND,Marcus Haislip,24,4,-0.2
2006,HOU,Ryan Bowen,30,3,0.2
2006,CLE,Ira Newble,31,3,0.1
2008,UTA,Kyrylo Fesenko,21,5,0
2009,CLE,Lorenzen Wright,33,4,-0.1
2009,TOR,Marcus Banks,27,1,-0.1
2013,CHI,Daequan Cook,25,2,-0.3
2013,IND,Danny Granger,29,3,-0.1
2014,UTA,Malcolm Thomas,25,4,-0.1
2015,LAL,Vander Blue,22,2,-0.2
1978,BOS,Fred Saunders,26,3,-0.3
1980,ATL,Ron Lee,27,1,-0.3
1980,HOU,Alonzo Bradley,26,2,-0.2
1984,DAL,Mark West,23,4,-0.1
1985,NYK,Ron Cavenall,25,5,-0.2
1985,ATL,Jerry Eaves,25,1,0
1987,NYK,Bob Thornton,24,4,-0.3
1991,SAC,Mike Higgins,23,3,0
1992,BOS,Tony Massenburg,24,4,0
1994,DAL,Morlon Wiley,27,1,-0.2
1996,WSB,Bob Thornton,33,5,0
1999,SAC,Kevin Ollie,26,2,0
2000,DET,Don Reid,26,4,0
2001,DEN,Calbert Cheaney,29,3,-0.1
2001,CHI,Steve Goodrich,24,4,-0.1
2004,MIN,Quincy Lewis,26,3,0
2005,NOH,Matt Freije,23,4,-0.5
2006,PHI,James Thomas,25,4,0.1
2007,LAC,Doug Christie,36,2,-0.1
2008,DAL,Juwan Howard,34,4,0.1
2012,CHA,Cory Higgins,22,1,-1.3
2014,UTA,Brandon Rush,28,2,-0.4
2014,BRK,Jason Collins,35,4,0.1
2014,SAS,Damion James,26,3,0
2016,SAC,Ben McLemore,22,2,-0.2
1980,IND,Ron Carter,23,2,-0.1
1981,DEN,James Ray,23,3,-0.2
1981,WSB,John Williamson,29,1,-0.3
1983,GSW,Terry Duerod,26,1,-0.2
1987,CHI,Fred Cofield,25,2,-0.1
1988,CHI,Granville Waiters,27,5,0
1990,PHO,Mike Morrison,22,2,-0.3
1990,BOS,Kelvin Upshaw,27,1,-0.2
1994,MIA,Morlon Wiley,27,1,-0.1
1995,IND,John Williams,28,3,-0.5
1996,BOS,Doug Smith,26,4,-0.2
1997,LAL,Joe Kleine,35,5,0
1999,NYK,David Wingate,35,2,0
2000,CHH,Dale Ellis,39,2,0
2001,VAN,Doug West,33,2,-0.1
2002,NJN,Brian Scalabrine,23,4,-0.1
2006,DEN,Julius Hodge,22,2,-0.2
2007,MEM,Will Conroy,24,2,0
2010,WAS,Dominic McGuire,24,4,-0.1
1979,CHI,Scott Lloyd,26,4,-0.4
1981,ATL,Art Collins,26,2,-0.4
1988,PHO,Ron Moore,26,5,0
1989,POR,Craig Neal,24,1,-0.1
1990,SAS,Zarko Paspalj,23,3,-0.3
1992,LAC,Tharon Mayes,23,1,0
1992,HOU,Gerald Henderson,36,1,-0.1
1993,GSW,Alton Lister,34,5,-0.2
1996,BOS,Thomas Hamilton,20,5,-0.3
1998,NJN,Xavier McDaniel,34,3,0
2000,MIL,Rafer Alston,23,1,-0.7
2000,PHO,Mark West,39,4,0.2
2001,UTA,DeShawn Stevenson,19,2,-0.4
2005,CLE,Jiri Welsch,25,3,-0.3
2005,MIL,Daniel Santiago,28,5,0
2005,PHO,Smush Parker,23,1,-0.2
2007,SEA,Danny Fortson,30,4,0
2008,NYK,Randolph Morris,22,5,-0.2
2009,SAS,Austin Croshere,33,4,-0.1
2011,MEM,Ish Smith,22,1,-0.2
2012,NJN,DeShawn Stevenson,30,2,-0.3
2012,PHI,Craig Brackins,24,4,-0.1
2013,LAC,DaJuan Summers,25,4,0
2015,MIN,Ronny Turiaf,32,3,0
2016,MIN,Tayshaun Prince,35,3,0.1
2016,DET,Anthony Tolliver,30,3,0.1
1980,HOU,Paul Mokeski,23,5,-0.1
1980,PHI,Eric Money,24,1,-0.2
1981,CLE,Kim Hughes,28,4,-0.3
1981,IND,Dick Miller,22,2,-0.1
1982,IND,Raymond Townsend,26,1,-0.2
1986,SAS,Mike Brittain,22,5,0
1988,DAL,Jim Farmer,23,2,-0.4
1988,NYK,Gerald Henderson,32,1,0
1995,DEN,Mark Randall,27,4,0
1995,HOU,Adrian Caldwell,28,5,0
1996,UTA,Andy Toolson,30,3,0
1996,PHO,Terrence Rencher,22,3,0
1997,DAL,Loren Meyer,24,4,-0.4
1997,WSB,Tim Legler,30,2,0
1997,MIL,Shawn Respert,24,1,-0.1
1998,ORL,Johnny Taylor,23,3,-0.1
2000,WAS,Laron Profit,22,2,-0.3
2000,CLE,Pete Chilcutt,31,4,0
2005,ORL,Mark Jones,29,2,-0.1
2006,NJN,Linton Johnson,25,3,0
2007,WAS,Michael Ruffin,30,4,0
2008,CHI,Thomas Gardner,22,2,-0.1
2009,BOS,Stephon Marbury,31,1,-0.3
2011,NJN,Stephen Graham,28,3,-0.3
2011,DET,DaJuan Summers,23,3,-0.3
2011,LAL,Theo Ratliff,37,4,0
2012,LAC,Ryan Gomes,29,3,-0.2
2012,MEM,Jeremy Pargo,25,1,-0.8
2015,MIA,Shannon Brown,29,2,0
1980,UTA,Greg Deane,22,2,-0.1
1984,PHO,Johnny High,26,2,-0.1
1986,SEA,Rod Higgins,26,2,0
1987,BOS,David Thirdkill,26,3,-0.1
1988,GSW,Mark Wade,22,1,-0.3
1991,SAS,Byron Dinkins,23,1,0
1994,GSW,Dell Demps,23,1,0
1997,WSB,Gaylon Nickerson,27,2,0
1998,NJN,Yinka Dare,25,5,-0.1
1999,SEA,Rashard Lewis,19,4,-0.4
1999,PHI,Doug Overton,29,1,-0.1
2003,GSW,Jiri Welsch,23,2,-0.4
2004,HOU,Adrian Griffin,29,2,0.1
2004,NOH,Bryce Drew,29,1,-0.2
2006,TOR,Rafael Araujo,25,5,-0.8
2007,MIN,Mark Madsen,31,4,0.4
2007,BOS,Michael Olowokandi,31,5,-0.1
2007,DET,Will Blalock,23,1,-0.1
2008,MEM,Casey Jacobsen,26,3,-0.3
2012,LAL,Jason Kapono,30,3,0.1
2015,PHI,Larry Drew,24,1,-0.4
2015,HOU,Troy Daniels,23,2,0
2016,LAL,Larry Nance Jr.,23,4,0
1982,SDC,Armond Hill,28,1,-0.8
1985,IND,Stuart Gray,21,5,-0.4
1986,BOS,Greg Kite,24,5,0.1
1987,BOS,Rick Carlisle,27,2,-0.3
1989,UTA,Scott Roth,25,3,0
1990,IND,George McCloud,22,2,-0.7
1990,UTA,Eric Johnson,23,1,-0.4
1993,PHO,Kurt Rambis,34,3,-0.1
2000,CLE,Ryan Stack,24,4,-0.1
2000,PHO,Don MacLean,30,4,0
2004,MEM,Wesley Person,32,2,-0.4
2004,CHI,Paul Shirley,26,4,-0.1
2005,HOU,Rod Strickland,38,1,-0.2
2005,SAC,Erik Daniels,22,3,-0.1
2008,SAS,Damon Stoudamire,34,1,-0.5
2015,CLE,Mike Miller,34,3,0.4
2015,HOU,K.J. McDaniels,21,3,0
2016,ATL,Mike Muscala,24,4,0
2016,MEM,Russ Smith,24,1,-0.1
1981,GSW,Clifford Ray,32,4,-0.3
1983,NJN,Bill Willoughby,25,3,0
1987,LAC,Steffond Johnson,24,4,-0.2
1989,NYK,Greg Butler,22,4,-0.1
1989,DEN,Jay Vincent,29,3,-0.1
1989,HOU,Tony Brown,28,2,-0.1
1996,SAS,Carl Herrera,29,4,-0.2
1997,DAL,Ed O'Bannon,24,3,-0.3
1997,TOR,Jimmy Oliver,27,2,-0.1
1998,VAN,Chris Robinson,23,2,-0.4
2001,DET,Brian Cardinal,23,4,0
2001,ATL,Anthony Miller,29,4,0
2003,TOR,Greg Foster,34,4,-0.3
2004,POR,Omar Cook,22,1,-0.2
2005,DET,Darko Milicic,19,5,-0.2
2005,HOU,Reece Gaines,24,2,0
2006,LAL,Devin Green,23,3,-0.1
2008,DAL,Trenton Hassell,28,2,0.3
2008,POR,Von Wafer,22,2,-0.1
2010,OKC,Shaun Livingston,24,2,0
2011,GSW,Charlie Bell,31,2,-0.1
2012,OKC,Royal Ivey,30,2,0.2
2012,CLE,D.J. Kennedy,22,2,0
2012,GSW,Earl Barron,30,4,0
2014,MEM,Jamaal Franklin,22,2,0
2014,ATL,John Jenkins,22,2,-0.1
2015,CLE,Kendrick Perkins,30,5,-0.2
