Year,Tm,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS
2002,DAL,Donnell Harvey,21,18,162,10.1,0.533,0,0.846,8.4,23,15.8,4.3,1.3,2.2,18.3,12.2,0.3
2002,SAC,Chucky Brown,33,18,92,10.1,0.377,0,0.074,11.8,26.2,19.2,9.1,1.1,2.9,15.2,15.6,0.1
2003,DET,Chucky Atkins,28,65,1398,10.1,0.475,0.52,0.105,1.8,6.5,4.1,22.4,1.1,0.2,13.7,19.4,1.5
2004,NYK,Shandon Anderson,30,80,1974,10.1,0.5,0.227,0.285,3.1,9.7,6.5,10.2,1.8,0.7,15.7,17.7,1.7
2004,PHI,Kyle Korver,22,74,882,10.1,0.489,0.633,0.073,4,10.7,7.4,8.3,1.5,0.7,10.8,20.2,1
2004,DAL,Travis Best,31,61,762,10.1,0.445,0.116,0.267,2.4,7.5,4.9,19.5,2.1,0.4,14.7,12.9,0.7
2004,DET,Chucky Atkins,29,40,751,10.1,0.49,0.553,0.183,0.9,6.4,3.7,21.9,1.4,0.1,15.9,18.8,1.2
2004,WAS,Chris Whitney,32,16,186,10.1,0.498,0.4,0.111,1.8,7.4,4.5,12.5,1.7,0.8,11.3,12.6,0.2
2004,MIA,Wang Zhizhi,26,14,105,10.1,0.451,0.311,0.133,4.4,11.2,7.8,3.6,1.6,3,11.2,24,0
2005,CHI,Andres Nocioni,25,81,1892,10.1,0.484,0.161,0.369,4.1,18.6,11.4,10.9,1,1.3,16.2,19.7,2.5
2005,POR,Theo Ratliff,31,63,1731,10.1,0.5,0,0.416,7.7,14.1,11,2.9,0.7,6.5,15.6,9.6,2.3
2005,MIA,Keyon Dooling,24,74,1184,10.1,0.486,0.217,0.316,1.1,7.5,4.4,17,1.7,0.7,14.2,18,1.5
2006,DEN,Francisco Elson,29,72,1579,10.1,0.556,0.018,0.261,7.4,17.6,12.5,4.4,1.7,2.1,17,10.8,2.9
2006,WAS,Donell Taylor,23,51,465,10.1,0.452,0.125,0.316,3.9,9.5,6.6,15.2,3.4,0.7,18,18.1,0.2
2006,DAL,Rawle Marshall,23,23,241,10.1,0.488,0.05,0.483,4.1,11.3,7.7,6.5,1.8,2.2,17.1,17,0.2
2006,DEN,Voshon Lenard,32,12,238,10.1,0.455,0.34,0.126,1,12.6,6.9,12.7,1.7,0.6,9.2,22.5,0
2006,WAS,Andray Blatche,19,29,175,10.1,0.45,0.194,0.179,7.7,17.8,12.6,9.5,1.5,3.1,14.2,21.5,0.1
2006,DET,Darko Milicic,20,25,140,10.1,0.507,0.061,0.242,8.4,15.5,11.9,10.2,1.2,7.8,29.1,17.5,0
2007,CHA,Alan Anderson,24,17,256,10.1,0.538,0.247,0.284,4.9,10,7.4,13.8,1.4,0,19.4,20.1,0.1
